Based_On,Drug Category,Drug Class,Medications,AHA Lab Trigger - Organs Dysfunctional,AHA Lab Trigger - Organs Problematic,AHA Lab Trigger - Biomarker Abnormal,AHA Lab Trigger - Biomarker Low,AHA Lab Trigger - Biomarker High,Caution Note,ICD-10 Diagnosis,ICD-10 Diagnostic Code,SNOMED,,
Class,Analgesics and immunosuppressants,Adrenal cortical steroids,"Budesonide, Betamethasone, Methylprednisolone, Beclometasone, Dexamethasone, Prednisolone, Cortisone, Mometasone, Prednisone, Triamcinolone, Ciclesonide, Fluticasone Furoate, Hydrocortisone, Cortef, Hydrocort, Amcinonide, Clobetasol, Clocortolone,Cortisone Acetate, Deflazacort, Desonide, Diflorasone, Fluticasone Propionate, Prednicarbate","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, Vitamin D (25-Hydroxy), bilirubin",,,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Steroid side effects,T38.0X5A,293141009,,
Drug,Analgesics and immunosuppressants,Adrenal cortical steroids,Alclometasone,"liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, Vitamin D (25-Hydroxy), bilirubin",,,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of alclometasone,T49.0X1A,293155001,,
Drug,Analgesics and immunosuppressants,Analgesics and immunosuppressants,"Azathioprine, Imuranmycophenolate Mofetil, Cellcept","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, Vitamin D (25-Hydroxy), bilirubin",,,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect mycophenolate mofetil,T45.1X5A,292255000,,
Class,Analgesics and immunosuppressants,Analgesics and immunosuppressants,"Cyclosporine, Neoral, Sandimmune, Gengraf, Tacrolimus, Fk506, Colchicine, Dapsone, Lenalidomide, Revlimid, Probenecid, Pomalidomide, Pomalyst","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by inhibiting the synthesis and activity of specific white blood cells involved in clearing tissue debris and promoting wound repair. However, it alters key metabolic pathways, elevates blood glucose levels, and triggers inflammatory processes that damage organs and blood vessels. Common side effects include headache, dizziness, muscle aches, weakness, and tenderness; digestive disturbances, sleep issues, skin flushing, confusion, or memory changes. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, infections, and cancer cell growth. ",Side effect of drug,T88.7XXA,69449002,,
Class,Analgesics and immunosuppressants,5-aminosalicylic acid,"Sulfasalazine, Balsalazide, Olsalazine","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by inhibiting the synthesis and activity of specific white blood cells involved in clearing tissue debris and promoting wound repair. However, it alters key metabolic pathways, elevates blood glucose levels, and triggers inflammatory processes that damage organs and blood vessels. Common side effects include headache, dizziness, muscle aches, weakness, and tenderness; digestive disturbances, sleep issues, skin flushing, confusion, or memory changes. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, infections, and cancer cell growth. ",Adverse effect of 5-aminosalicylic acid,T39.395A,292118005,,
Class,Analgesics,Anticholinergics,"Atropine, Aprepitant, Domperidone, Dronabinol, Olanzapine, Trimethobenzamide, Chlorpromazine, Droperidol, Emetrol, Nabilone, Benztropine, Glycopyrrolate, Hyoscyamine, Scopolamine, Trihexyphenidyl, Oxybutynin, Ipratropium, Tiotropium","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of drug,T88.7XXA,69449002,,
Class,Analgesics,5-hydroxytryptamine-3 (5-HT3) receptor antagonist,"Ondansetron, Dolasetron, Anzemet, Granisetron, Kytril, Palonosetron, Aloxi","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of 5-hydroxytryptamine-3 receptor antagonist,T45.0X5A,292134008,,
Class,Analgesics,Egot alkaloids,"Dihydroergotamine, Ergotamine, Erenumab, Eptinezumab, Rimegepant","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin",,,"The medication functions by increasing the release of neurotransmitters dopamine and serotonin and constricting blood vessels. Common side effects may include digestive disturbances, dizziness, numbness or tingling sensations, sudden fluctuation in blood pressure and heart rate, muscle pains, and skin itching.",Side effect of drug,T88.7XXA,69449002,,
Drug,Cancer chemotherapies,Cancer chemotherapies,"Mechlorethamine, Vincristine, Vinblastine, Vindesine, Procarbazine, Melphalan, Busulfan, Chlorambucil, Bleomycin, Actinomycin D","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach",,"platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by blocking DNA synthesis in rapidly dividing cells. Key metabolic pathways are altered, reducing specific dietary fat and protein breakdown and elevated blood glucose levels. Common side effects include headache, dizziness, muscle pain, weakness, gastrointestinal disturbances, sleep issues, skin flushing, confusion, and memory impairment. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth. ",Side effect of drug,T88.7XXA,69449002,,
Drug,Cancer chemotherapies,Cancer chemotherapies,"Cyclophosphamide, Cytoxan, Methotrexate, Rheumatrex, Hydroxychloroquine, Plaquenil, Ifosfamide, 5-Fluorouracil, 5-Fu","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by blocking DNA synthesis in rapidly dividing cells. Key metabolic pathways are altered, reducing specific dietary fat and protein breakdown and elevated blood glucose levels. Common side effects include headache, dizziness, muscle pain, weakness, gastrointestinal disturbances, sleep issues, skin flushing, confusion, and memory impairment. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth. ",Side effect of drug,T88.7XXA,69449002,,
Class,Cancer chemotherapies,Cancer chemotherapies,"Bcnu, Carmustine, Cisplatin, Carboplatin, Oxaliplatin, 9-Aminocamptothecin, Topotecan, Irinotecan, 20(S)-Camptothecin, Etoposide, Teniposide, Doxorubicin, Daunorubicin, Epirubicin, Idarubicin, Mitoxantrone, Valrubicin","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by blocking DNA synthesis in rapidly dividing cells. Key metabolic pathways are altered, reducing specific dietary fat and protein breakdown and elevated blood glucose levels. Common side effects include headache, dizziness, muscle pain, weakness, gastrointestinal disturbances, sleep issues, skin flushing, confusion, and memory impairment. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth. ",Side effect of drug,T88.7XXA,69449002,,
Drug,Cancer chemotherapies,Cancer chemotherapies,"Paclitaxel, Taxol, Docetaxel, Taxotere, Epothilones, Epothilone Bixabepilone, Discodermolide, Laulimalide, Peloruside A, Eleutherobins, Sarcodictyins, Dictyostatin, Zampanolide, Dactylolide, Taccalonolides, Aminoglutethimide","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin","folate, vitamin B12, Vitamin B6, Vitamin D (25-Hydroxy)",,"The medication functions by blocking DNA synthesis in rapidly dividing cells. Key metabolic pathways are altered, reducing specific dietary fat and protein breakdown and elevated blood glucose levels. Common side effects include headache, dizziness, muscle pain, weakness, gastrointestinal disturbances, sleep issues, skin flushing, confusion, and memory impairment. Long-term use may increase the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth. ",Side effect of drug,T88.7XXA,69449002,,
Class,Allergy medications,Histamine H1-receptor antagonists,"Chlorpheniramine, Diphenhydramine, Benadryl, Nytol, Unisom, Panadol, Tylenol Pm, Advil Pm, Hydroxyzine, Ataraxvistaril, Triprolidine, Cetirizine, Desloratadine, Fexofenadine, Ebastine, Doxylamine, Emedastine, Epinastine, Levocabastine, Meclizine, Clemastine, Carbinoxamine, Chlorphenoxamine, Dimenhydrinate, Tripelennamine, Pbz, Pyrilamine, Promethazine, Phenergan, Cyclizine, Marezine, Brompheniramine, Dexchlorpheniramine, Dexbrompheniramine, Pheniramine, Dimetindene","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","platelet, RBC, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, bilirubin",,,"The medication reduces blood pressure and blood flow to various part of the body. Side effects include dry mouth and eyes, blurred vision, dizziness, digestive disturbances, tremors, headaches, mood changes, fatigue, confusion, delirium, urinary retention, sleep issues, and irregular heart rate or rhythm. Long-term use may increase the risk of seizures, obesity, and neurological disorders such as dementia.",Side effect of allergy medication,T50.905A,170840001,,
Class,Antidiabetic,Thiazolidinediones,"Pioglitazone, Actos, Rosiglitazone, Avandia, Troglitazone, Rezulin","lungs, heart, Kidney & Adrenal Glands, small intestine, liver, stomach","lungs, heart, Kidney & Adrenal Glands, small intestine, liver, stomach",,,,"The medication functions by increasing the production of growth-promoting hormones like insulin, pituitary growth hormone, thyroid hormones, and the sex hormones testosterone and estrogen. Key metabolic pathways may be altered, thereby reducing the breakdown of specific dietary fats and proteins and elevating blood glucose levels. Side effects include headache, dizziness, muscle and joint pain, weakness, digestive disturbances, sleep issues, skin flushing, confusion, and memory loss. Long-term use can increase the risk of diabetes, obesity, neurological autoimmune disorders, vascular diseases, and cancer cell growth.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Biguanides,"Metformin, Glucovance","stomach, small intestine, Kidney & Adrenal Glands","stomach, small intestine, Kidney & Adrenal Glands",,"hemoglobin, RBC, hematocrit, vitamin B12, folate, Vitamin B6",,"The medication functions by interfering with the synthesis of intrinsic factor in the stomach. By reducing the absorption and transportation of vitamin B12 and calcium into peripheral tissues, it can cause side effects such as fatigue, muscle pain, dizziness, metallic taste in the mouth, digestive disturbances, and poor wound repair. The drug is not recommended in pregnancy, during an acute illness, and those with an increased risk for an autoimmune disorder. ",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Sulfonylureas,"Gliclazide, Glimepiride, Amaryl, Glipizide, Glucotrol, Glyburide, Glybenclamide, Micronase, Tolbutamide, Chlorpropamide, Diabinese, Acetohexamide","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach","liver, Kidney & Adrenal Glands, pancreas, heart, small intestine, stomach",,,,"The medication functions by increasing the production of growth-promoting hormones like insulin, pituitary growth hormone, thyroid hormones, and the sex hormones testosterone and estrogen. Key metabolic pathways may be altered, thereby reducing the breakdown of specific dietary fats and proteins and elevating blood glucose levels. Side effects include headache, dizziness, muscle and joint pain, weakness, digestive disturbances, sleep issues, skin flushing, confusion, and memory loss. Long-term use can increase the risk of diabetes, obesity, neurological autoimmune disorders, vascular diseases, and cancer cell growth.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Meglitinide,"Repaglinide, Mitiglinide, Nateglinide","stomach, small intestine","stomach, small intestine",,,,"The medication functions by increasing the uptake of glucose into peripheral tissues and altering key metabolic pathways. This can  reduce the breakdown of specific dietary fats and proteins and cause side effects such as headaches, dizziness, muscle and joint aches, weakness, digestive disturbances, skin reactions, and infections.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Dipeptidyl peptidase 4 (DPP-4) inhibitors,"Sitagliptin, Januvia, Vildagliptin, Galvus, Saxagliptin, Onglyza, Alogliptin, Nesina, Linagliptin, Tradjenta ","pancreas, lungs, liver, Kidney & Adrenal Glands","pancreas, lungs, liver, Kidney & Adrenal Glands",,,,"The medication functions by increasing the uptake of glucose into peripheral tissues and altering key metabolic pathways. This can  reduce the breakdown of specific dietary fats and proteins and cause side effects such as headaches, dizziness, muscle and joint aches, weakness, digestive disturbances, skin reactions, and infections.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,GLP-1 receptor agonists,"Semaglutide, Ozempic, Wegovy, Rybelsus, Tirzepatide, Mounjaro, Zepbound, Dulaglutide, Trulicity, Liraglutide, Victoza, Saxenda, Exenatide, Byetta, Bydureon Bcise, Lixisenatide, Adlyxin","pancreas, liver, thyroid, gallbladder, Kidney & Adrenal Glands","pancreas, liver, thyroid, gallbladder, Kidney & Adrenal Glands",,,,"The medication functions by stimulating the pancreas to release insulin, which enhances glucose uptake into peripheral tissues and promote fat metabolism. It also slows gastric emptying, suppresses appetite, and reduces pancreatic secretion of glucagon. Potential side effects include sudden fluctuations in blood pressure, heart rate, and fluid balance, digestive disturbances, and an increased risk of autoimmune disorders, vascular complications, and multi-organ injury.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Sodium-glucose cotransporter 2 inhibitors,"Canigliflozin, Dapagliflozin, Emplagliflozin, Jardiance, Ertugliflozin","stomach, small intestine, liver, Kidney & Adrenal Glands","stomach, small intestine, liver, Kidney & Adrenal Glands",,,,"The medication lowers blood glucose levels by increasing renal excretion of glucose through the urine. This mechanism alters fluid and electrolyte balance and may lead to fluid retention in various organs. Potential side effects include irregular heart rhythm and blood pressure, weakness, muscle and joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, digestive disturbances, and sexual dysfunction. Prolonged use can increase the risk of neurological and psychiatric issues, including confusion, anxiety, depression, dementia, paranoia, psychosis, suicidal thoughts, gait instability, and migraines; as well as fractures, falls, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Alpha-glucosidase inhibitors,"Miglitol, Glyset, Voglibose, Emiglitate","stomach, small intestine, liver","stomach, small intestine, liver",,,,"The medication functions by inhibiting the synthesis of digestive enzymes in the small intestine, thereby reducing food metabolism and the absorption and transportation of vital nutrients to peripheral tissues. Potential side effects include digestive issues (e.g., excess gas, diarrhea, abdominal pain, and nausea), cognitive disturbances (i.e., confusion and dementia), headaches, and dizziness. Long-term use can increase the risk of blood disorders and autoimmune diseases (e.g., inflammatory bowel disease).",Side effect of drug,T88.7XXA,69449002,,
Class,Antidiabetic,Antidiabetic,"Acarbose, Precose","stomach, small intestine, liver","stomach, small intestine, liver",,,,"The medication functions by inhibiting the synthesis of digestive enzymes in the small intestine, thereby reducing food metabolism and the absorption and transportation of vital nutrients to peripheral tissues. Potential side effects include digestive issues (e.g., excess gas, diarrhea, abdominal pain, and nausea), cognitive disturbances (i.e., confusion and dementia), headaches, and dizziness. Long-term use can increase the risk of blood disorders and autoimmune diseases (e.g., inflammatory bowel disease).",Adverse effect of acarbose,T38.3X5A,293205003,,
Class,Antipychotics,Phenothiazines,"Chlorpromazine, Largactil, Thorazine, Fluphenazine, Duraclon, Modecate, Permitil,Prolixin, Mesoridazine, Serentil, Prochlorperazine, Compazine, Compro,Procomp, Promazine, Robinulanectine, Thioridazine, Mellaril, Trifluoperazine, Stelazine, Promethazine, Antinaus 50, Phenadoz, Phenergan, Promethegan, Thiethylperazine, Acepromazine, Aceprometazine","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of drug,T88.7XXA,69449002,,
Drug,Antipychotics,Antipychotics,"Perphenazine, Etrafontrilafon","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of perphenazine,T43.3X5A,292397009,,
Class,Antipsychotics,Thioxanthenes,"Chlorprothixene, Cloxan, Taractan, Truxal, Clopenthixol, Sordinol, Flupentixol, Depixol, Fluanxol, Thiothixene, Navane, Zuclopenthixol, Cisordinol, Clopixol, Acuphase","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of drug,T88.7XXA,69449002,,
Class,Antipsychotics,Butyrophenones,"Haloperidol, Haldol, Droperidol, Inapsine, Melperone, Domperidone, Benperidol, Azaperone, Lumateperone","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of drug,T88.7XXA,69449002,,
Class,Atypical Antipsychotics,Atypical Antipsychotics,"Clozapine, Clozaril, Olanzapine, Zyprexa, Risperidone, Risperdal, Paliperidone, Invega, Quetiapine, Seroquel, Aripiprazole, Abilify, Aristada, Lurasidone, Latuda, Ziprasidone, Geodon, Pimavanserin, Nuplazid, Asenapine, Secuado, Saphris, Brexpiprazole, Rexulti, Cariprazine, Vraylar, Versacloz, Iloperidone, Fanapt, Lybalvi, Symbyax, Loxapine, Adusuve, Loxitane, Molindone, Moban, Metoclopramide, Reglan, Trimethobenzamide, Tigan, Lithium","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of drug,T88.7XXA,69449002,,
Class,Antipsychotics,Diphenylbutylpiperidines,"Clopimozide, R-29,764, Fluspirilene, Redeptin, Imap, Pimozide, Orap, Penfluridol, Semap, Micefal, Longoperidol","heart, Kidney & Adrenal Glands, thyroid, liver","heart, Kidney & Adrenal Glands, thyroid, liver",,,,"The medication functions by blocking dopamine receptors and inhibiting dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause headaches, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",Side effect of drug,T88.7XXA,69449002,,
Drug,Psychiatric,Tertiary Tricyclic Antidepressants (TCAs),"Amitriptyline, Elavil, Vanatrip, Clomipramine, Anafranil, Doxepin, Sinequan, Silenor, Imipramine, Tofranil, Tofranil-Pm, Tyramine,Trimipramine, Surmontil, Desipramine, Norpramin, Nortriptyline, Pamelor, Aventyl, Protriptyline, Vivactil, Amoxapine, Asendin","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication functions by stimulating the release of norepinephrine (noradrenaline; NE) and inhibiting its reuptake into nerve cells. NE is a key neurotransmitter and hormone that enhances alertness, focus, and blood vessel constriction during stress. By influencing mood, memory, and blood flow, the drug can cause side effects such as sudden fluctuations in heart rate and blood pressure, dizziness, involuntary movements, muscle rigidity, gait disturbances and tremors. Long-term use can increase the risk of heart attack, stroke, and overall mortality.",Side effect of tricyclic antidepressant,T43.015A,292279003,,
Class,Psychiatric,Benzodiazepines,"Alprazolam, Chlordiazepoxide, Clobazam, Clonazepam, Klonopin, Clorazepate, Diazepam, Estazolam, Lorazepam, Midazolam, Oxazepam, Temazepam, Triazolam","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication suppresses the function of the spinal cord and brainstem. Potential side effects include neurological impairment (e.g., confusion, psychosis, and profound sedation), trouble breathing, falls, coma, and, in severe cases, sudden death.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,"Benzodiazepine receptor agonist hypnotics (""Z"" drugs)","Eszopiclone, Zaleplon, Zolpidem","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication suppresses the function of the spinal cord and brainstem. Potential side effects include neurological impairment (e.g., confusion, psychosis, and profound sedation), trouble breathing, falls, coma, and, in severe cases, sudden death.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Barbiturates,"Butalbital, Phenobarbital, Primidone, Amobarbital, Methohexital, Pentobarbital, Secobarbital, Thiopental, Thiamylal","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication functions by increasing chloride influx into brain cells. Altering neurological function can cause profound sedation, decreased motor activity and mental sharpness, mood disorders (i.e., anxiety), and difficulty breathing. In severe cases, it can increase the risk of falls, fractures, coma, and sudden death.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Tranquilizers,"Meprobamate, Phenothiazines, Trifluoperazine, Perphenazine","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication functions by reducing brain cell activity. This can cause profound sedation, cognitive issues, mood disorders (i.e., anxiety), difficulty breathing, and an increased risk of falls, fractures, coma, and sudden death.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Antidepressants SNRIs,"Desvenlafaxine, Pristiq, Khedezla, Duloxetine, Cymbalta, Drizalma, Irenka, Levomilnacipran, Fetzima, Milnacipran, Savella, Ixel, Milnaneurax, Venlafaxine, Effexor, Trevilor","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication stimulates the accumuation of the neurotransmitters norepinephrine, serotonin, and dopamine in the synapse. This can alter fluid, electrolytes, and hormonal balance. Potential side effects include neurological disturbances (e.g., confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance), fainting spells, urinary retention, dry mouth, and constipation. Prolonged use or inappropriate dosing can increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Antidepressants SSRIs,"Citalopram, Celexa, Escitalopram, Lexapro, Fluoxetine, Prozac, Fluvoxamine, Luvox, Paroxetine, Paxil, Sertraline, Zoloft, Vilazodone, Viibryd","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication stimulates the accumuation of the neurotransmitters norepinephrine, serotonin, and dopamine in the synapse. This can alter fluid, electrolytes, and hormonal balance. Potential side effects include neurological disturbances (e.g., confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance), fainting spells, urinary retention, dry mouth, and constipation. Prolonged use or inappropriate dosing can increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Antidepressants MAO Inhibitors,"Isocarboxazid, Marplan, Phenelzine, Nardil, Tranylcypromine, Parnate, Bifemelane, Alnert, Celeport, Methylene Blue, Urelene Blue, Provayblue, Proveblue, Moclobemide, Aurorix, Manerix, Moclamine, Pirlindole, Pirazidol","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication stimulates the accumuation of the neurotransmitters norepinephrine, serotonin, and dopamine in the synapse. This can alter fluid, electrolytes, and hormonal balance. Potential side effects include neurological disturbances (e.g., confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance), fainting spells, urinary retention, dry mouth, and constipation. Prolonged use or inappropriate dosing can increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",Side effect of drug,T88.7XXA,69449002,,
Class,Psychiatric,Antidepressants 5-HT2 receptor antagonists,"Mirtazipine, Nefazodone","heart, Kidney & Adrenal Glands, liver","heart, Kidney & Adrenal Glands, liver",,,,"The medication stimulates the accumuation of the neurotransmitters norepinephrine, serotonin, and dopamine in the synapse. This can alter fluid, electrolytes, and hormonal balance. Potential side effects include neurological disturbances (e.g., confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance), fainting spells, urinary retention, dry mouth, and constipation. Prolonged use or inappropriate dosing can increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",Side effect of drug,T88.7XXA,69449002,,
