Drug Class,Medications,AHA Lab Trigger,Caution Headline,Caution Note,ICD-10 Diagnostic Code,SNOMED,,
Analegsics and immunosuppressants,"Cyclosporine (Neoral, Sandimmune, Gengraf), Tacrolimus (FK506), Colchicine, Dapsone, Lenalidomide (Revlimid), probenecid, Pomalidomide (Pomalyst). ","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; abnormally low folate, vitamin B12, B6, D, or other B vitamin level",Side effect of drug,"The medication blocks the synthesis and function of specific white blood cells that are responsible for clearing out tissue debris and repairing wounds. This can alter metabolic pathways, raise the blood sugar, and trigger inflammatory processes that can damage various organs and blood vessels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T88.7XXA,69449002,,
Analegsics and immunosuppressants: 5-aminosalicylic acid,"Sulfasalazine, balsalazide, and olsalazine","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; abnormally low folate, vitamin B12, B6, D, or other B vitamin level",Adverse effect of 5-aminosalicylic acid,"The medication blocks the synthesis and function of specific white blood cells that are responsible for clearing out tissue debris and repairing wounds. This can alter metabolic pathways, raise the blood sugar, and trigger inflammatory processes that can damage various organs and blood vessels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T39.395A,292118005,,
Analegsics: Anticholinergics,"Atropine, Aprepitant, Domperidone, Dronabinol, Olanzapine, Trimethobenzamide, Chlorpromazine, Droperidol, Emetrol, Nabilone, Benztropine, Glycopyrrolate, Hyoscyamine, Scopolamine, Trihexyphenidyl, Oxybutynin, Ipratropium, Tiotropium","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Side effect of drug,"The medication dysregulates fluid and electrolyte balance, promotes fluid retention in various organs, and can present as various symptoms, such as irregular heart rhythm and blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, sexual dysfunction, and brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality, especially in older patients and those with complex chronic conditions.",T88.7XXA,69449002,,
Analegsics: 5-hydroxytryptamine-3 (5-HT3) receptor antagonist,"Ondansetron, dolasetron (Anzemet), granisetron (Kytril), and palonosetron (Aloxi)","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Adverse effect of 5-hydroxytryptamine-3 receptor antagonist,"The medication dysregulates fluid and electrolyte balance, promotes fluid retention in various organs, and can present as various symptoms, such as irregular heart rhythm and blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, sexual dysfunction, and brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality, especially in older patients and those with complex chronic conditions.",T45.0X5A,292134008,,
Analegsics: egot alkaloids,"Dihydroergotamine, ergotamine, Erenumab, Eptinezumab, rimegepant","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Side effect of drug,"The medication increases the release of neurotransmitters dopamine and serotonin and constricts blood vessels in various organs. This can present as nausea, vomiting, light-headedness, numbness, tingling, high blood pressure, slow heart rate (bradycardia), muscle pains, and/or itching.",T88.7XXA,69449002,,
,,,,,,,,
Cancer chemotherapies,"mechlorethamine, vincristine, vinblastine, vindesine, procarbazine, melphalan, busulfan, chlorambucil, bleomycin, actinomycin D","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; abnormally low folate, vitamin B12, B6, D, or other B vitamin level ",Side effect of drug,"The medication blocks DNA synthesis in proliferating cells, alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Cancer chemotherapies,"Cyclophosphamide (Cytoxan), Methotrexate (Rheumatrex), Hydroxychloroquine (Plaquenil), ifosfamide, 5-fluorouracil (5-FU)","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; abnormally low folate, vitamin B12, B6, D, or other B vitamin level ",Side effect of drug,"The medication blocks DNA synthesis in proliferating cells, alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Cancer chemotherapies,"BCNU (carmustine), cisplatin, carboplatin, oxaliplatin, 9-aminocamptothecin, topotecan, irinotecan, 20(S)-camptothecin, etoposide, teniposide, doxorubicin, daunorubicin, Epirubicin, Idarubicin, Mitoxantrone, Valrubicin","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; abnormally low folate, vitamin B12, B6, D, or other B vitamin level ",Side effect of drug,"The medication blocks DNA synthesis in proliferating cells, alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Cancer chemotherapies,"paclitaxel (Taxol), docetaxel (Taxotere), epothilones (including epothilone B and ixabepilone), discodermolide, laulimalide, peloruside A, eleutherobins, sarcodictyins, dictyostatin, zampanolide, dactylolide, taccalonolides, aminoglutethimide","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level; moderate to severely low folate, vitamin B12, B6, D, or other B vitamin level",Side effect of drug,"The medication blocks DNA synthesis in proliferating cells, alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
,,,,,,,,
Allergy medications: Histamine H1-receptor antagonists,"Chlorpheniramine, Diphenhydramine (Benadryl, Nytol, Unisom, Panadol, Tylenol PM, Advil PM)), Hydroxyzine (Atarax and Vistaril), Triprolidine, Cetirizine, Desloratadine, Fexofenadine, Ebastine, Doxylamine, Emedastine, Epinastine, Levocabastine, Meclizine, clemastine, carbinoxamine, chlorphenoxamine, dimenhydrinate, tripelennamine (PBZ), pyrilamine, promethazine (Phenergan), cyclizine (Marezine), brompheniramine, dexchlorpheniramine, dexbrompheniramine, pheniramine, dimetindene","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, or bilirubin level",Side effect of allergy medication,"The medication reduces blood pressure and blood flow throughout the body. This can. cause various symptoms, such as drowsiness, dry mouth, blurred vision, dizziness, sleep trouble, tremor, dry eyes, headache, mood dysregulation (i.e., anxiety, depression, agitation, or psychosis), fatigue, confusion, delirium, difficulty urinating, constipation, nausea, vomiting, and irregular heart rate and irregular rhythm, and increase the risk of seizure, coma, obesity, and dementia (Alzheimer).",T50.905A,170840001,,
,,,,,,,,
Antidiabetic: Thiazolidinediones,"Pioglitazone (Actos), Rosiglitazone (Avandia), Troglitazone (Rezulin)","dysfunctional or problematic lung, heart, kidney, small intestine, liver, or stomach issue",Side effect of drug,"The medication increases the production of growth-promoting hormones like insulin, pituitary growth hormone, thyroid hormones, and the sex hormones testosterone and estrogen. This alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, joint pain, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Antidiabetic: biguanides,"Metformin, Glucovance","dysfunctional or problematic stomach, small intestine, or kidney function issues; abnormally low hemoglobin, red blood cell (RBC), hematocrit, vitamin B12, folate, B6, or other B vitamin level; moderate to severely high homocysteine level",Side effect of drug,"The medication interferes with stomach intrinsic factor synthesis and the absorption and transportation of vitamin B12 and calcium to peripheral tissues. This can present as fatigue, muscle pain, rapid breathing, dizziness, decreased appetite, a metallic taste in the mouth, nausea, vomiting, stomach discomfort, and poor wound repair. The drug is not recommended in pregnancy, during an acute illness, and those with an autoimmune disorder. ",T88.7XXA,69449002,,
Antidiabetic: sulfonylureas,"Gliclazide, Glimepiride (amaryl), Glipizide (glucotrol), Glyburide (Glybenclamide, micronase), Tolbutamide, Chlorpropamide (diabinese), Acetohexamide ",dysfunctional or problematic organ issue,Side effect of drug,"The medication increases the production of growth-promoting hormones like insulin, pituitary growth hormone, thyroid hormones, and the sex hormones testosterone and estrogen. This alters metabolic pathways, reduces dietary fat and protein breakdown, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, joint pain, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Antidiabetic: meglitinide,"repaglinide, mitiglinide, and nateglinide",dysfunctional or problematic stomach or small intestine issues,Side effect of drug,"The medication increases glucose uptake into peripheral tissues, alters metabolic pathways, and reduces dietary fat and protein breakdown. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), joint pains, skin reactions, and respiratory infections.",T88.7XXA,69449002,,
Antidiabetic: dipeptidyl peptidase 4 (DPP-4) inhibitors ,"Sitagliptin (Januvia), Vildagliptin (Galvus), Saxagliptin (Onglyza), Alogliptin (Nesina), Linagliptin (tradjenta) ","dysfunctional or problematic pancreas, lung, liver, or kidney issues",Side effect of drug,"The medication increases glucose uptake into peripheral tissues, alters metabolic pathways, and reduces dietary fat and protein breakdown. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), joint pains, skin reactions, and respiratory infections.",T88.7XXA,69449002,,
Antidiabetic: GLP-1 receptor agonists,"semaglutide (Ozempic, Wegovy, Rybelsus), tirzepatide (Mounjaro, Zepbound), dulaglutide (Trulicity), liraglutide (Victoza, Saxenda), exenatide (Byetta, Bydureon BCise), and lixisenatide (Adlyxin)","dysfunctional or problematic pancreas, liver, thyroid, gallbladder, or kidney issues",Side effect of drug,"The medication stimulates the pancreas to secrete the hormone insulin and increase glucose uptake into peripheral tissues. It also reduces stomach function, appetite, and pancreatic secretion of the hormone glucagon. This ultimately improves stored fat breakdown and blood glucose levels, but can cause sudden changes in blood pressure, heart rate, and fluid balance. This can present as various symptoms, such as digestive issues (i.e., diarrhea, nausea or vomiting), and increase the risk of kidney, pancreas, thyroid, gallbladder, liver, and cardiovascular complications in those with pre-existing autoimmune disorders and other complex chronic conditions. ",T88.7XXA,69449002,,
Antidiabetic: Sodium-glucose cotransporter 2 inhibitors ,"Canigliflozin, Dapagliflozin, Emplagliflozin (Jardiance), Ertugliflozin ","dysfunctional or problematic stomach, small intestine, liver, or kidney issues",Side effect of drug,"The medication increases the kidneys' excretion of glucose in the urine and lower blood glucose levels. It alters fluid and electrolyte balance and promotes fluid retention in various organs. This can. cause various symptoms, such as irregular heart rhythm and blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, sexual dysfunction, and brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T88.7XXA,69449002,,
Antidiabetic: alpha-glucosidase inhibitors,"Miglitol (Glyset), Voglibose, Emiglitate","dysfunctional or problematic stomach, small intestine, or liver issues",Side effect of drug,"The medication inhibits the synthesis of digestive enzymes in the small intestine and reduces food metabolism and the absorption and transportation of vital nutrients to peripheral tissues. This can cause gut issues (e.g., excess gas, diarrhea, abdominal pain, nausea), cognitive disturbances (i.e., confusion and dementia), headaches, dizziness, bleeding disorders, and increase the risk of autoimmune disorders (e.g., inflammatory bowel disease) and other complex, chronic concerns.",T88.7XXA,69449002,,
Antidiabetic: ,Acarbose (Precose),"dysfunctional or problematic stomach, small intestine, or liver issues",Adverse effect of acarbose,"The medication inhibits the synthesis of digestive enzymes in the small intestine and reduces food metabolism and the absorption and transportation of vital nutrients to peripheral tissues. This can cause gut issues (e.g., excess gas, diarrhea, abdominal pain, nausea), cognitive disturbances (i.e., confusion and dementia), headaches, dizziness, bleeding disorders, and increase the risk of autoimmune disorders (e.g., inflammatory bowel disease) and other complex, chronic concerns.",T38.3X5A,293205003,,
,,,,,,,,
Antipychotics: Phenothiazines ,"Chlorpromazine (Largactil, Thorazine), Fluphenazine (Duraclon, Modecate, Permitil, and Prolixin), Mesoridazine (Serentil), Prochlorperazine (Compazine, Compro, and Procomp), Promazine (Robinul and Anectine), Thioridazine (Mellaril), Trifluoperazine (Stelazine), Promethazine (Antinaus 50, Phenadoz, Phenergan, and Promethegan), Thiethylperazine, Acepromazine, Aceprometazine","dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of drug,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",T88.7XXA,69449002,,
Antipychotics:,Perphenazine (Etrafon and Trilafon),"dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of perphenazine,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. ",T43.3X5A,292397009,,
Antipsychotics: Thioxanthenes,"Chlorprothixene (Cloxan, Taractan, Truxal), Clopenthixol (Sordinol), Flupentixol (Depixol, Fluanxol), Thiothixene (Navane), Zuclopenthixol (Cisordinol, Clopixol, Acuphase)","dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of drug,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. 
",T88.7XXA,69449002,,
Antipsychotics: Butyrophenones,"Haloperidol (Haldol), Droperidol (Inapsine), Melperone, Domperidone, Benperidol, Azaperone, Lumateperone","dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of drug,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. 
",T88.7XXA,69449002,,
Atypical Antipsychotics,"clozapine (Clozaril), olanzapine (Zyprexa), risperidone (Risperdal), paliperidone (Invega), quetiapine (Seroquel), aripiprazole (Abilify, Aristada), lurasidone (Latuda), and ziprasidone (Geodon), Pimavanserin (Nuplazid), Asenapine (Secuado, Saphris), Brexpiprazole (Rexulti), Cariprazine (Vraylar), Versacloz), Iloperidone (Fanapt), Lybalvi, Symbyax), Loxapine (Adusuve, Loxitane), Molindone (Moban), Metoclopramide (Reglan), Trimethobenzamide (Tigan), lithium","dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of drug,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. 
",T88.7XXA,69449002,,
Antipsychotics: diphenylbutylpiperidines,"Clopimozide (R-29,764), Fluspirilene (Redeptin, Imap), Pimozide (Orap), Penfluridol (Semap, Micefal, or Longoperidol)","dysfunctional or problematic heart, kidney, thyroid, or liver issues",Side effect of drug,"The medication blocks dopamine receptors and inhibits dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Alters dopamine levels can present as various symptoms, such as headache, dizziness, muscle stiffness, weakness, sleep problems, confusion, and memory loss. 
",T88.7XXA,69449002,,
,,,,,,,,
Psychiatric: Tertiary Tricyclic Antidepressants (TCAs) ,"Amitriptyline (Elavil, Vanatrip), Clomipramine (Anafranil), Doxepin (Sinequan and Silenor) esp. > 6mg/day, Imipramine (Tofranil and Tofranil-PM), Tyramine,Trimipramine (Surmontil), Desipramine (Norpramin), Nortriptyline (Pamelor and Aventyl), Protriptyline (Vivactil), Amoxapine (Asendin)","dysfunctional or problematic heart, kidney, or liver issues",Side effect of tricyclic antidepressant,"The medication stimulates norepinephrine (noradrenaline; NE) release and prevent its reuptake into nerve cells. NE is a neurotransmitter and hormone that increases alertness and attention and constricts blood vessels during stress. The drug alters the natural circadian rhythm of various organs, mood and memory regulation, and blood circulation. This can present as slow heart rate (bradycardia), orthostatic hypotension (sudden drop in blood pressure with changing position; also called POTS syndrome), dizziness, involuntary movements, muscle stiffness, gait issues, and tremors, and increase the risk of heart attack, stroke, and all-cause mortality.",T43.015A,292279003,,
Psychiatric: Benzodiazepines,"Alprazolam, Chlordiazepoxide (alone or in combination with amitriptyline or clidinium), clobazam, clonazepam (Klonopin), clorazepate, Diazepam, Estazolam, Lorazepam, Midazolam, Oxazepam, Temazepam, Triazolam","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication suppresses the spinal cord and brainstem and can cause major cognitive impairment, profound sedation, difficulty breathing, falls, coma, and sudden death.",T88.7XXA,69449002,,
"Psychiatric: Benzodiazepine receptor agonist hypnotics (""Z"" drugs) ","Eszopiclone, Zaleplon, Zolpidem","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication suppresses the spinal cord and brainstem and can cause major cognitive impairment, profound sedation, difficulty breathing, falls, coma, and sudden death.",T88.7XXA,69449002,,
Psychiatric: Barbiturates ,"Butalbital, Phenobarbital, Primidone, Amobarbital, Methohexital, Pentobarbital, Secobarbital, Thiopental, Thiamylal","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication increases chloride influx into brain cells and reduces their function. This can present as profound sedation, decreased motor activity and mental sharpness, mood disorders (i.e., anxiety), difficulty breathing, and increase the risk of falls, fractures, coma, and sudden death.",T88.7XXA,69449002,,
Psychotropic: tranquilizers,"Meprobamate, Phenothiazines, Trifluoperazine, Perphenazine, ","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication can reduce brain cells' function, motor activity, and mental sharpness. This can cause profound sedation, mood disorders (i.e., anxiety), difficulty breathing, and increase the risk of falls, fractures, coma, and sudden death.",T88.7XXA,69449002,,
Psychiatric: antidepressants SNRIs,"Desvenlafaxine (Pristiq, Khedezla), Duloxetine (Cymbalta, Drizalma, Irenka), Levomilnacipran (Fetzima), Milnacipran (Savella, Ixel, Milnaneurax), Venlafaxine (Effexor, Trevilor), ","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
Psychiatric: antidepressants SSRIs,"Citalopram (Celexa), Escitalopram (Lexapro), Fluoxetine (Prozac), Fluvoxamine (Luvox), Paroxetine (Paxil), Sertraline (Zoloft), and Vilazodone (Viibryd). ","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
Psychiatric: antidepressants MAO Inhibitors,"Isocarboxazid (Marplan), Phenelzine (Nardil), Tranylcypromine (Parnate), Bifemelane (Alnert, Celeport), Methylene blue (Urelene blue, Provayblue, Proveblue), Moclobemide (Aurorix, Manerix, Moclamine), Pirlindole (Pirazidol)","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
Psychiatric: antidepressants 5-HT2 receptor antagonists,"Mirtazipine, Nefazodone","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
Psychiatric: antidepressants Dopamine reuptake inhibitors,"Bupropion (Wellbutrin, Zyban), Pipradrol, Amineptine (Survector, Maneon, Directim), Dexmethylphenidate (Focalin), Difemetorex (Cleofil), Fencamfamine (Glucoenergan, Reactivan), Fencamine (Altimina, Sicoclor), Lefetamine (Santenol), Methylphenidate (Ritalin, Concerta, Metadate, Methylin, Foquest), Nomifensine (Merital)","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
Psychiatric: second-generation antidepressants,"Iprindole, Maprotiline, Medifoxamine, Mianserin, Tianeptine, Trazodone, and Viloxazine.","dysfunctional or problematic heart, kidney, or liver issues",Side effect of drug,"The medication causes the neurotransmitters norepinephrine, serotonin, and dopamine to accumulate in the synapse and dysregulates the balance of others hormones, electrolytes, and fluid. This can present as cognitive and psychomotor issues -- confusion, psychosis, mood instability, depression, anxiety, paranoia, and gait imbalance; fainting spells, urinary retention, dry mouth, constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
,,,,,,,,
CNS: Cholinesterase Inhibitors (AChEIs) ,"Donepezil (Aricept), Galantamine (Razadyne), Rivastigmine (Exelon), Memantine/donepezil (Namzaric), Ambenonium (Mytelase), Neostigmine (Bloxiverz), Edrophonium, Pyridostigmine, Physostigmine, Edrophonium",dysfunctional or problematic heart or liver issues,Side effect of drug,"The medication slows down the heart rate (bradycardia) and blood pressure. This can cause orthostatic hypotension (sudden drop in blood pressure with changing position; also called POTS syndrome), dizziness, involuntary movements, muscle stiffness, gait issues, tremors, major cognitive impairment and increase the risk of heart attack, stroke, and all-cause mortality.",T88.7XXA,69449002,,
CNS: dopamine-receptor agonists,"Metoclopramide, Prochloroperazine, Promethazine, Bromocriptine, Pergolide, Piribedil, Lisuride, Cabergoline, Pramipexole, Ropinirole, Rotigotine, Apomorphine",dysfunctional or problematic organ issue,Accidental side effect of Parkinson agent,"The medication increases dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause various symptoms, such as headache, dizziness, muscle stiffness, slow movement, weakness, sedation, confusion, and memory loss. ",T42.8X5A,430136001,,
CNS: MAO-B Inhibitors,"Selegiline (Emsam), Rasagiline (Azilect), Safinamide (Xadago)","dysfunctional or problematic heart, kidney, or liver issues",Accidental side effect of Parkinson agent,"The medication increases dopamine transmission into brain cells. Dopamine influences a wide range of functions, including motivation, pleasure, and movement. Altering dopamine levels can cause various symptoms, such as headache, dizziness, muscle stiffness, slow movement, weakness, sedation, confusion, and memory loss. ",T42.8X5A,430136001,,
CNS: anti-seizure medications,"Carbamazepine  (Tegretol, Carbatrol), Oxcarbazepine (Trileptal), Ethosuimide, Gabapentin (Neurontin), Levetiracetam (Keppra), Phenytoin (Dilantin, Phenytek), Pregabalin (Lyrica), Tiagabine, Topiramate (Topamax, Qudexy, Trokendi), Valproic acid (Depakote, Depakene), Vigabatrin (Sabril), Zonisamide (Zonegran), Lamotrigine (Lamictal)","dysfunctional or problematic heart, kidney, or liver issues; abnormal bilirubin level; moderate to severely low vitamin B12, folate, B6, or other B vitamin levels",Side effect of drug,"The medication altersss the influx of sodium and potassium ions into cells, fluid and electrolyte balance. This can. cause various symptoms, such as confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, fainting spells, urinary retention, dry mouth, and constipation, and increase the risk of fractures, falls, dementia, stroke, and all-cause mortality.",T88.7XXA,69449002,,
